college_id,college_name,college_state,college_city,college_type,stream_offered,last_year_cutoff,affiliation,facilities,scholarships_available,admission_status,contact_email,contact_phone,website
COLL0024,Punjab Institute of Science Studies,Punjab,City_35,Government,Science (PCM),74.7,Autonomous,"Cultural Center, Sports",Minority,Upcoming,info@coll0024.edu.in,+91-3623471568,www.coll0024.ac.in
COLL0025,Punjab Institute of Vocational Studies,Punjab,City_25,Government Aided,Vocational,90.7,NAAC Accredited,"Hostel, Library, Labs",Need-based,Closed,info@coll0025.edu.in,+91-9610674019,www.coll0025.ac.in
COLL0026,Madhya Institute of Vocational Studies,Madhya Pradesh,City_45,Government,Vocational,77.8,NAAC Accredited,"Digital Classrooms, Labs",Need-based,Closed,info@coll0026.edu.in,+91-5073360982,www.coll0026.ac.in
COLL0027,Bihar Institute of Humanities Studies,Bihar,City_24,Government,Humanities,90.5,UGC,"Hostel, Library, Labs",Minority,Closed,info@coll0027.edu.in,+91-3621628571,www.coll0027.ac.in
COLL0028,Gujarat Institute of Humanities Studies,Gujarat,City_33,Government,Humanities,79.8,State Board,"Labs, Sports",Need-based,Closed,info@coll0028.edu.in,+91-3975981337,www.coll0028.ac.in
COLL0029,Delhi Institute of Science Studies,Delhi,City_42,Government Aided,Science (PCB),64.4,AICTE,"Hostel, Library, Labs",Minority,Open,info@coll0029.edu.in,+91-8272573944,www.coll0029.ac.in
COLL0030,Jammu Institute of Vocational Studies,Jammu & Kashmir,City_48,Government,Vocational,41.9,State Board,"Labs, Sports",Minority,Open,info@coll0030.edu.in,+91-7575488911,www.coll0030.ac.in
COLL0031,Bihar Institute of Science Studies,Bihar,City_34,Government Aided,Science (PCB),65.7,NAAC Accredited,"Digital Classrooms, Labs",Need-based,Closed,info@coll0031.edu.in,+91-9965397990,www.coll0031.ac.in
COLL0032,Haryana Institute of Science Education & Research,Haryana,City_24,Government Aided,Science (PCM),69.3,AICTE,"Hostel, Library, Labs",Merit-based,Upcoming,info@coll0032.edu.in,+91-9523638733,www.coll0032.ac.in
COLL0033,Kerala Institute of Vocational Studies,Kerala,City_43,Government,Vocational,50.4,NAAC Accredited,"Cultural Center, Sports",,Upcoming,info@coll0033.edu.in,+91-2853425965,www.coll0033.ac.in
COLL0034,Punjab Institute for Advanced Science Studies,Punjab,City_48,Government Aided,Science (PCM),73.0,Autonomous,"Library, WiFi, Hostel",Merit-based,Open,info@coll0034.edu.in,+91-4147528249,www.coll0034.ac.in
COLL0035,Madhya Institute of Science Education & Research,Madhya Pradesh,City_47,Government,Science (PCB),86.4,AICTE,"Library, WiFi, Hostel",Merit-based,Open,info@coll0035.edu.in,+91-4488079059,www.coll0035.ac.in
COLL0036,Jharkhand Institute of Science Studies,Jharkhand,City_42,Government Aided,Science (PCM),85.1,UGC,"Hostel, Library, Labs",Merit-based,Open,info@coll0036.edu.in,+91-6064644983,www.coll0036.ac.in
COLL0037,Uttar Institute for Advanced Science Studies,Uttar Pradesh,City_7,Government,Science (PCB),64.3,Autonomous,"Cultural Center, Sports",SC/ST,Open,info@coll0037.edu.in,+91-5944052242,www.coll0037.ac.in
COLL0038,Assam Institute of Science Studies,Assam,City_36,Government Aided,Science (PCB),84.2,AICTE,"Hostel, Library, Labs",Minority,Upcoming,info@coll0038.edu.in,+91-6486722827,www.coll0038.ac.in
COLL0039,Chhattisgarh Institute of Science Studies,Chhattisgarh,City_46,Government,Science (PCB),64.7,State Board,"Cultural Center, Sports",Minority,Upcoming,info@coll0039.edu.in,+91-3342135016,www.coll0039.ac.in
COLL0040,West Institute for Advanced Science Studies,West Bengal,City_30,Government,Science (PCM),71.8,Autonomous,"Cultural Center, Sports",,Open,info@coll0040.edu.in,+91-7714030637,www.coll0040.ac.in
COLL0041,Madhya Institute for Advanced Vocational Studies,Madhya Pradesh,City_26,Government Aided,Vocational,79.3,Autonomous,"Library, WiFi, Hostel",Merit-based,Upcoming,info@coll0041.edu.in,+91-4304539550,www.coll0041.ac.in
COLL0042,Karnataka Institute of Vocational Studies,Karnataka,City_23,Government,Vocational,85.7,Autonomous,"Digital Classrooms, Labs",SC/ST,Upcoming,info@coll0042.edu.in,+91-1100649305,www.coll0042.ac.in
COLL0043,Uttar Institute for Advanced Humanities Studies,Uttar Pradesh,City_47,Government,Humanities,76.8,AICTE,"Hostel, Library, Labs",Minority,Closed,info@coll0043.edu.in,+91-3906968803,www.coll0043.ac.in
COLL0044,Bihar Institute for Advanced Science Studies,Bihar,City_25,Government,Science (PCM),63.3,UGC,"Labs, Sports",SC/ST,Closed,info@coll0044.edu.in,+91-2417980121,www.coll0044.ac.in
COLL0045,Madhya Institute of Humanities Studies,Madhya Pradesh,City_37,Government,Humanities,70.8,UGC,"Hostel, Library, Labs",Merit-based,Upcoming,info@coll0045.edu.in,+91-4683442134,www.coll0045.ac.in
COLL0046,Jharkhand Institute of Commerce Studies,Jharkhand,City_23,Government,Commerce,58.6,NAAC Accredited,"Hostel, Library, Labs",Minority,Open,info@coll0046.edu.in,+91-3434042145,www.coll0046.ac.in
COLL0047,Jammu Institute for Advanced Vocational Studies,Jammu & Kashmir,City_25,Government Aided,Vocational,85.5,Autonomous,"Digital Classrooms, Labs",SC/ST,Open,info@coll0047.edu.in,+91-4560623986,www.coll0047.ac.in
COLL0048,Delhi Institute for Advanced Science Studies,Delhi,City_13,Government,Science (PCB),73.7,State Board,"Digital Classrooms, Labs",,Open,info@coll0048.edu.in,+91-8073362352,www.coll0048.ac.in
COLL0049,Punjab Institute of Science Education & Research,Punjab,City_31,Government,Science (PCM),65.4,Autonomous,"Cultural Center, Sports",,Open,info@coll0049.edu.in,+91-4911000702,www.coll0049.ac.in
COLL0050,Kerala Institute for Advanced Humanities Studies,Kerala,City_39,Government,Humanities,76.6,UGC,"Library, WiFi, Hostel",Minority,Closed,info@coll0050.edu.in,+91-6787329596,www.coll0050.ac.in
COLL0051,Uttar Institute of Science Education & Research,Uttar Pradesh,City_46,Government,Science (PCM),78.1,UGC,"Library, WiFi, Hostel",Merit-based,Open,info@coll0051.edu.in,+91-2703890303,www.coll0051.ac.in
COLL0052,Telangana Institute for Advanced Commerce Studies,Telangana,City_35,Government,Commerce,66.5,NAAC Accredited,"Labs, Sports",SC/ST,Open,info@coll0052.edu.in,+91-4760244658,www.coll0052.ac.in
COLL0053,Gujarat Institute of Science Studies,Gujarat,City_16,Government Aided,Science (PCB),54.2,State Board,"Hostel, Library, Labs",Need-based,Closed,info@coll0053.edu.in,+91-7279827531,www.coll0053.ac.in
COLL0054,Tamil Institute of Humanities Studies,Tamil Nadu,City_25,Government,Humanities,62.7,State Board,"Digital Classrooms, Labs",Merit-based,Upcoming,info@coll0054.edu.in,+91-4654583939,www.coll0054.ac.in
COLL0055,Uttar Institute for Advanced Commerce Studies,Uttar Pradesh,City_5,Government Aided,Commerce,60.5,NAAC Accredited,"Library, WiFi, Hostel",Merit-based,Upcoming,info@coll0055.edu.in,+91-3234346332,www.coll0055.ac.in
COLL0056,Andhra Institute of Science Studies,Andhra Pradesh,City_40,Central University,Science (PCM),55.0,State Board,"Labs, Sports",SC/ST,Upcoming,info@coll0056.edu.in,+91-2175410339,www.coll0056.ac.in
COLL0057,Gujarat Institute for Advanced Science Studies,Gujarat,City_26,Government,Science (PCM),65.6,State Board,"Hostel, Library, Labs",Minority,Upcoming,info@coll0057.edu.in,+91-5679583995,www.coll0057.ac.in
COLL0058,Haryana Institute of Science Education & Research,Haryana,City_7,Government Aided,Science (PCB),69.8,UGC,"Cultural Center, Sports",,Open,info@coll0058.edu.in,+91-8113952348,www.coll0058.ac.in
COLL0059,Haryana Institute of Science Education & Research,Haryana,City_50,Government Aided,Science (PCB),70.9,UGC,"Library, WiFi, Hostel",Minority,Closed,info@coll0059.edu.in,+91-6854528800,www.coll0059.ac.in
COLL0060,Odisha Institute of Vocational Studies,Odisha,City_8,Government Aided,Vocational,84.4,State Board,"Cultural Center, Sports",Merit-based,Upcoming,info@coll0060.edu.in,+91-3502904844,www.coll0060.ac.in
COLL0061,Jharkhand Institute of Humanities Studies,Jharkhand,City_31,Government Aided,Humanities,67.2,UGC,"Labs, Sports",Merit-based,Upcoming,info@coll0061.edu.in,+91-1056898569,www.coll0061.ac.in
COLL0062,Kerala Institute of Humanities Education & Research,Kerala,City_42,Government Aided,Humanities,53.5,NAAC Accredited,"Library, WiFi, Hostel",Merit-based,Upcoming,info@coll0062.edu.in,+91-3770165142,www.coll0062.ac.in
COLL0063,Madhya Institute of Science Education & Research,Madhya Pradesh,City_14,Government,Science (PCB),66.7,Autonomous,"Digital Classrooms, Labs",,Open,info@coll0063.edu.in,+91-9511631973,www.coll0063.ac.in
COLL0064,Maharashtra Institute of Science Studies,Maharashtra,City_4,Government Aided,Science (PCB),58.9,UGC,"Hostel, Library, Labs",Merit-based,Upcoming,info@coll0064.edu.in,+91-5966235595,www.coll0064.ac.in
COLL0065,Andhra Institute of Humanities Studies,Andhra Pradesh,City_27,Government Aided,Humanities,67.4,UGC,"Digital Classrooms, Labs",Need-based,Open,info@coll0065.edu.in,+91-3656540091,www.coll0065.ac.in
COLL0066,Odisha Institute for Advanced Science Studies,Odisha,City_17,Government,Science (PCM),64.9,State Board,"Hostel, Library, Labs",Minority,Upcoming,info@coll0066.edu.in,+91-9451344896,www.coll0066.ac.in
COLL0067,Karnataka Institute for Advanced Vocational Studies,Karnataka,City_12,Government,Vocational,63.1,AICTE,"Digital Classrooms, Labs",SC/ST,Closed,info@coll0067.edu.in,+91-4379272125,www.coll0067.ac.in
COLL0068,Gujarat Institute of Science Education & Research,Gujarat,City_49,Government,Science (PCB),68.9,State Board,"Hostel, Library, Labs",Merit-based,Open,info@coll0068.edu.in,+91-5296593913,www.coll0068.ac.in
COLL0069,Karnataka Institute of Vocational Education & Research,Karnataka,City_31,Government,Vocational,74.3,Autonomous,"Hostel, Library, Labs",Merit-based,Open,info@coll0069.edu.in,+91-5639037986,www.coll0069.ac.in
COLL0070,Andhra Institute of Commerce Studies,Andhra Pradesh,City_49,Government,Commerce,62.2,State Board,"Hostel, Library, Labs",,Open,info@coll0070.edu.in,+91-8735471113,www.coll0070.ac.in
COLL0071,Gujarat Institute for Advanced Humanities Studies,Gujarat,City_27,Government Aided,Humanities,75.4,AICTE,"Cultural Center, Sports",,Closed,info@coll0071.edu.in,+91-1938376009,www.coll0071.ac.in
COLL0072,Maharashtra Institute for Advanced Science Studies,Maharashtra,City_48,Government Aided,Science (PCB),68.7,AICTE,"Digital Classrooms, Labs",,Upcoming,info@coll0072.edu.in,+91-5791738877,www.coll0072.ac.in
COLL0073,West Institute of Humanities Studies,West Bengal,City_16,Government Aided,Humanities,83.1,NAAC Accredited,"Labs, Sports",SC/ST,Open,info@coll0073.edu.in,+91-6470178947,www.coll0073.ac.in
COLL0074,Bihar Institute of Commerce Studies,Bihar,City_41,Central University,Commerce,83.2,Autonomous,"Digital Classrooms, Labs",Merit-based,Closed,info@coll0074.edu.in,+91-3722958361,www.coll0074.ac.in
COLL0075,Maharashtra Institute of Science Education & Research,Maharashtra,City_6,Central University,Science (PCB),53.8,AICTE,"Labs, Sports",SC/ST,Open,info@coll0075.edu.in,+91-3276572292,www.coll0075.ac.in
COLL0076,Chhattisgarh Institute of Vocational Studies,Chhattisgarh,City_39,Government,Vocational,71.7,NAAC Accredited,"Hostel, Library, Labs",Minority,Upcoming,info@coll0076.edu.in,+91-7069225393,www.coll0076.ac.in
COLL0077,Karnataka Institute of Vocational Education & Research,Karnataka,City_23,Government Aided,Vocational,77.5,State Board,"Labs, Sports",Merit-based,Upcoming,info@coll0077.edu.in,+91-3801549489,www.coll0077.ac.in
COLL0078,Rajasthan Institute for Advanced Vocational Studies,Rajasthan,City_16,Government,Vocational,77.9,AICTE,"Library, WiFi, Hostel",Merit-based,Closed,info@coll0078.edu.in,+91-3750417048,www.coll0078.ac.in
COLL0079,Odisha Institute of Science Education & Research,Odisha,City_10,Government Aided,Science (PCM),63.5,NAAC Accredited,"Labs, Sports",Minority,Open,info@coll0079.edu.in,+91-6152348706,www.coll0079.ac.in
COLL0080,Rajasthan Institute of Vocational Education & Research,Rajasthan,City_41,Central University,Vocational,81.4,NAAC Accredited,"Library, WiFi, Hostel",Merit-based,Open,info@coll0080.edu.in,+91-3494648489,www.coll0080.ac.in
COLL0081,Telangana Institute of Science Studies,Telangana,City_22,Government Aided,Science (PCB),61.6,NAAC Accredited,"Digital Classrooms, Labs",Minority,Upcoming,info@coll0081.edu.in,+91-1475997999,www.coll0081.ac.in
COLL0082,Karnataka Institute of Vocational Education & Research,Karnataka,City_16,Government,Vocational,77.4,State Board,"Labs, Sports",Need-based,Open,info@coll0082.edu.in,+91-7758574336,www.coll0082.ac.in
COLL0083,West Institute of Vocational Studies,West Bengal,City_7,Government,Vocational,63.3,AICTE,"Library, WiFi, Hostel",Minority,Upcoming,info@coll0083.edu.in,+91-8978221588,www.coll0083.ac.in
COLL0084,Gujarat Institute of Science Education & Research,Gujarat,City_48,Government Aided,Science (PCM),70.8,UGC,"Cultural Center, Sports",,Upcoming,info@coll0084.edu.in,+91-6873140806,www.coll0084.ac.in
COLL0085,Tamil Institute of Science Studies,Tamil Nadu,City_21,Government,Science (PCB),55.6,UGC,"Cultural Center, Sports",SC/ST,Upcoming,info@coll0085.edu.in,+91-8841585779,www.coll0085.ac.in
COLL0086,Assam Institute of Commerce Studies,Assam,City_23,Government Aided,Commerce,73.2,State Board,"Cultural Center, Sports",SC/ST,Upcoming,info@coll0086.edu.in,+91-4804147729,www.coll0086.ac.in
COLL0087,Delhi Institute of Science Education & Research,Delhi,City_46,Government Aided,Science (PCM),75.8,UGC,"Cultural Center, Sports",Merit-based,Open,info@coll0087.edu.in,+91-1016117925,www.coll0087.ac.in
COLL0088,West Institute of Science Education & Research,West Bengal,City_43,Government,Science (PCM),47.4,Autonomous,"Library, WiFi, Hostel",SC/ST,Open,info@coll0088.edu.in,+91-2188170567,www.coll0088.ac.in
COLL0089,Punjab Institute of Science Education & Research,Punjab,City_27,Government,Science (PCB),66.6,Autonomous,"Cultural Center, Sports",,Upcoming,info@coll0089.edu.in,+91-8775674567,www.coll0089.ac.in
COLL0090,Telangana Institute of Commerce Education & Research,Telangana,City_24,Government,Commerce,83.1,AICTE,"Digital Classrooms, Labs",Need-based,Open,info@coll0090.edu.in,+91-7229778150,www.coll0090.ac.in
COLL0091,Jharkhand Institute for Advanced Humanities Studies,Jharkhand,City_12,Government,Humanities,81.3,UGC,"Hostel, Library, Labs",Merit-based,Open,info@coll0091.edu.in,+91-1256028432,www.coll0091.ac.in
COLL0092,Gujarat Institute of Vocational Studies,Gujarat,City_14,Government,Vocational,69.1,UGC,"Digital Classrooms, Labs",Minority,Open,info@coll0092.edu.in,+91-4307942039,www.coll0092.ac.in
COLL0093,Haryana Institute of Vocational Studies,Haryana,City_6,Government Aided,Vocational,74.3,State Board,"Labs, Sports",Minority,Closed,info@coll0093.edu.in,+91-8204542237,www.coll0093.ac.in
COLL0094,Madhya Institute of Vocational Education & Research,Madhya Pradesh,City_34,Government Aided,Vocational,78.5,State Board,"Hostel, Library, Labs",Need-based,Open,info@coll0094.edu.in,+91-2042839587,www.coll0094.ac.in
COLL0095,Odisha Institute of Humanities Education & Research,Odisha,City_25,Central University,Humanities,66.0,UGC,"Library, WiFi, Hostel",Merit-based,Closed,info@coll0095.edu.in,+91-4903493788,www.coll0095.ac.in
COLL0096,Jammu Institute of Science Studies,Jammu & Kashmir,City_46,Government,Science (PCB),76.3,UGC,"Library, WiFi, Hostel",,Open,info@coll0096.edu.in,+91-9073608003,www.coll0096.ac.in
COLL0097,Gujarat Institute for Advanced Vocational Studies,Gujarat,City_8,Government Aided,Vocational,86.1,Autonomous,"Hostel, Library, Labs",Minority,Upcoming,info@coll0097.edu.in,+91-6614824438,www.coll0097.ac.in
COLL0098,Tamil Institute for Advanced Science Studies,Tamil Nadu,City_8,Government Aided,Science (PCM),72.3,AICTE,"Library, WiFi, Hostel",Need-based,Closed,info@coll0098.edu.in,+91-6890858379,www.coll0098.ac.in
COLL0099,Jammu Institute for Advanced Science Studies,Jammu & Kashmir,City_43,Government,Science (PCB),78.5,UGC,"Digital Classrooms, Labs",Minority,Closed,info@coll0099.edu.in,+91-8916959034,www.coll0099.ac.in
COLL0100,Telangana Institute of Commerce Education & Research,Telangana,City_8,Government,Commerce,91.9,State Board,"Digital Classrooms, Labs",Minority,Open,info@coll0100.edu.in,+91-2288090404,www.coll0100.ac.in
COLL0101,Gujarat Institute of Vocational Education & Research,Gujarat,City_30,Government,Vocational,77.5,AICTE,"Digital Classrooms, Labs",Need-based,Closed,info@coll0101.edu.in,+91-4556150266,www.coll0101.ac.in
COLL0102,Maharashtra Institute of Vocational Studies,Maharashtra,City_9,Government Aided,Vocational,81.7,AICTE,"Cultural Center, Sports",,Open,info@coll0102.edu.in,+91-5891907426,www.coll0102.ac.in
COLL0103,Delhi Institute of Science Education & Research,Delhi,City_19,Government Aided,Science (PCB),56.2,AICTE,"Cultural Center, Sports",Merit-based,Open,info@coll0103.edu.in,+91-7300341933,www.coll0103.ac.in
COLL0104,Jammu Institute of Vocational Education & Research,Jammu & Kashmir,City_11,Government,Vocational,68.8,NAAC Accredited,"Digital Classrooms, Labs",,Closed,info@coll0104.edu.in,+91-2847986115,www.coll0104.ac.in
COLL0105,Tamil Institute for Advanced Humanities Studies,Tamil Nadu,City_12,Government,Humanities,59.1,NAAC Accredited,"Hostel, Library, Labs",Need-based,Open,info@coll0105.edu.in,+91-1522606966,www.coll0105.ac.in
COLL0106,Haryana Institute of Commerce Studies,Haryana,City_5,Government,Commerce,63.7,State Board,"Library, WiFi, Hostel",,Open,info@coll0106.edu.in,+91-6980170051,www.coll0106.ac.in
COLL0107,Assam Institute of Humanities Studies,Assam,City_40,Government,Humanities,66.6,AICTE,"Cultural Center, Sports",Need-based,Upcoming,info@coll0107.edu.in,+91-5293269536,www.coll0107.ac.in
COLL0108,Chhattisgarh Institute for Advanced Science Studies,Chhattisgarh,City_13,Government Aided,Science (PCM),71.9,State Board,"Digital Classrooms, Labs",Minority,Upcoming,info@coll0108.edu.in,+91-6212726620,www.coll0108.ac.in
COLL0109,Haryana Institute for Advanced Humanities Studies,Haryana,City_49,Government,Humanities,47.3,NAAC Accredited,"Cultural Center, Sports",Need-based,Upcoming,info@coll0109.edu.in,+91-9310664819,www.coll0109.ac.in
COLL0110,Madhya Institute of Science Education & Research,Madhya Pradesh,City_20,Government,Science (PCM),60.5,UGC,"Labs, Sports",Merit-based,Open,info@coll0110.edu.in,+91-4413809685,www.coll0110.ac.in
COLL0111,Jharkhand Institute for Advanced Commerce Studies,Jharkhand,City_13,Government,Commerce,76.0,UGC,"Labs, Sports",Merit-based,Closed,info@coll0111.edu.in,+91-4615257824,www.coll0111.ac.in
COLL0112,Karnataka Institute for Advanced Science Studies,Karnataka,City_9,Government Aided,Science (PCM),61.4,State Board,"Labs, Sports",Minority,Closed,info@coll0112.edu.in,+91-1221620532,www.coll0112.ac.in
COLL0113,Telangana Institute for Advanced Science Studies,Telangana,City_33,Government,Science (PCB),51.0,NAAC Accredited,"Library, WiFi, Hostel",Minority,Open,info@coll0113.edu.in,+91-3718120748,www.coll0113.ac.in
COLL0114,Bihar Institute of Vocational Studies,Bihar,City_17,Government Aided,Vocational,74.2,Autonomous,"Labs, Sports",,Upcoming,info@coll0114.edu.in,+91-4210509649,www.coll0114.ac.in
COLL0115,Punjab Institute of Commerce Studies,Punjab,City_25,Government,Commerce,74.0,State Board,"Cultural Center, Sports",Minority,Upcoming,info@coll0115.edu.in,+91-5290147833,www.coll0115.ac.in
COLL0116,Bihar Institute for Advanced Commerce Studies,Bihar,City_3,Government,Commerce,70.5,State Board,"Cultural Center, Sports",,Closed,info@coll0116.edu.in,+91-6609431377,www.coll0116.ac.in
COLL0117,Tamil Institute of Science Education & Research,Tamil Nadu,City_25,Government,Science (PCM),72.8,NAAC Accredited,"Hostel, Library, Labs",Need-based,Closed,info@coll0117.edu.in,+91-6557154097,www.coll0117.ac.in
COLL0118,Punjab Institute of Science Education & Research,Punjab,City_32,Central University,Science (PCB),75.5,UGC,"Cultural Center, Sports",Minority,Closed,info@coll0118.edu.in,+91-4528371468,www.coll0118.ac.in
COLL0119,Gujarat Institute of Science Education & Research,Gujarat,City_35,Government Aided,Science (PCB),59.1,NAAC Accredited,"Hostel, Library, Labs",,Closed,info@coll0119.edu.in,+91-4557268569,www.coll0119.ac.in
COLL0120,Rajasthan Institute of Science Studies,Rajasthan,City_48,Central University,Science (PCB),53.9,Autonomous,"Digital Classrooms, Labs",Need-based,Closed,info@coll0120.edu.in,+91-1837938978,www.coll0120.ac.in
COLL0121,Andhra Institute for Advanced Science Studies,Andhra Pradesh,City_12,Government,Science (PCB),66.3,AICTE,"Library, WiFi, Hostel",SC/ST,Upcoming,info@coll0121.edu.in,+91-5314990525,www.coll0121.ac.in
COLL0122,Delhi Institute of Vocational Education & Research,Delhi,City_4,Government Aided,Vocational,62.7,State Board,"Labs, Sports",Merit-based,Open,info@coll0122.edu.in,+91-2298612857,www.coll0122.ac.in
COLL0123,Rajasthan Institute of Humanities Studies,Rajasthan,City_30,Government,Humanities,82.7,State Board,"Labs, Sports",,Open,info@coll0123.edu.in,+91-7320678592,www.coll0123.ac.in
COLL0124,Kerala Institute of Commerce Studies,Kerala,City_25,Government,Commerce,51.9,NAAC Accredited,"Hostel, Library, Labs",Merit-based,Closed,info@coll0124.edu.in,+91-1500869444,www.coll0124.ac.in
COLL0125,Punjab Institute of Science Education & Research,Punjab,City_17,Government,Science (PCB),78.5,State Board,"Library, WiFi, Hostel",Minority,Closed,info@coll0125.edu.in,+91-6048887200,www.coll0125.ac.in
COLL0126,Bihar Institute for Advanced Vocational Studies,Bihar,City_32,Government,Vocational,77.4,State Board,"Hostel, Library, Labs",SC/ST,Closed,info@coll0126.edu.in,+91-2115558504,www.coll0126.ac.in
COLL0127,Gujarat Institute of Humanities Education & Research,Gujarat,City_12,Government Aided,Humanities,79.2,AICTE,"Cultural Center, Sports",Need-based,Upcoming,info@coll0127.edu.in,+91-8068229547,www.coll0127.ac.in
COLL0128,Telangana Institute of Commerce Education & Research,Telangana,City_45,Government Aided,Commerce,74.6,AICTE,"Digital Classrooms, Labs",,Closed,info@coll0128.edu.in,+91-6045541071,www.coll0128.ac.in
COLL0129,Delhi Institute of Vocational Education & Research,Delhi,City_16,Government,Vocational,75.8,NAAC Accredited,"Hostel, Library, Labs",Minority,Closed,info@coll0129.edu.in,+91-3437937160,www.coll0129.ac.in
COLL0130,Jammu Institute of Commerce Studies,Jammu & Kashmir,City_8,Government,Commerce,70.8,Autonomous,"Digital Classrooms, Labs",Merit-based,Open,info@coll0130.edu.in,+91-4692028555,www.coll0130.ac.in
